$ python docs/doc_src/tutorial/demo/cpip_15.py docs/doc_src/tutorial/demo/proj/src/main.c
Processing: docs/doc_src/tutorial/demo/proj/src/main.c
main.c        1 21 (True, '')
main.c        3  1 (True, '')
user.h        2  1 (True, '!def __USER_H__')
user.h        4  1 (True, '!def __USER_H__')
system.h      2  1 (True, '!def __USER_H__ && !def __SYSTEM_H__')
system.h      4  1 (True, '!def __USER_H__ && !def __SYSTEM_H__')
system.h      6  1 (True, '!def __USER_H__ && !def __SYSTEM_H__')
system.h      7  1 (True, '!def __USER_H__')
user.h        6  1 (True, '!def __USER_H__')
user.h        8  1 (True, '!def __USER_H__')
user.h        9  1 (True, '')
main.c        5  1 (True, '')
main.c        5  4 (True, '')
main.c        5  5 (True, '')
main.c        5  9 (True, '')
main.c        5 10 (True, '')
main.c        5 13 (True, '')
main.c        5 14 (True, '')
main.c        5 18 (True, '')
main.c        5 19 (True, '')
main.c        5 20 (True, '')
main.c        5 24 (True, '')
main.c        5 25 (True, '')
main.c        5 26 (True, '')
main.c        5 27 (True, '')
main.c        5 31 (True, '')
main.c        5 32 (True, '')
main.c        5 33 (True, '')
main.c        5 34 (True, '')
main.c        6  1 (True, '')
main.c        7  2 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        7  8 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        7  9 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        7 34 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        7 35 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        7 36 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        8  1 (True, 'defined(LANG_SUPPORT) && defined(FRENCH)')
main.c        9  2 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c        9  8 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c        9  9 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c        9 19 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c        9 20 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c        9 21 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c       10  1 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && defined(LANG_SUPPORT) && defined(AUSTRALIAN))')
main.c       11  2 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       11  8 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       11  9 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       11 24 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       11 25 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       11 26 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       12  1 (False, '(!(defined(LANG_SUPPORT) && defined(FRENCH)) && !(defined(LANG_SUPPORT) && defined(AUSTRALIAN)))')
main.c       13  2 (True, '')
main.c       13  8 (True, '')
main.c       13  9 (True, '')
main.c       13 10 (True, '')
main.c       13 11 (True, '')
main.c       14  1 (True, '')
main.c       14  2 (True, '')
main.c       15  1 (True, '')
